Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[ecotype]	Sample Characteristic Ontology Term[ecotype]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[growth condition]	Sample Characteristic Ontology Term[growth condition]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[age]	Factor Value Ontology Term[age]	Factor Value[genotype]	Factor Value Ontology Term[genotype]	Analysed
ERR1447069	14 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	14 day		wild type		Yes
ERR1447070	21 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	atphb3 ANAC017		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	21 day		atphb3 ANAC017		Yes
ERR1447071	21 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	atphb3 ANAC017		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	21 day		atphb3 ANAC017		Yes
ERR1447072	21 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	atphb3 ANAC017		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	21 day		atphb3 ANAC017		Yes
ERR1447073	21 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	atphb3 anac017		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	21 day		atphb3 anac017		Yes
ERR1447074	21 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	atphb3 anac017		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	21 day		atphb3 anac017		Yes
ERR1447075	21 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	atphb3 anac017		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	21 day		atphb3 anac017		Yes
ERR1447076	14 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	14 day		wild type		Yes
ERR1447077	14 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	wild type		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	14 day		wild type		Yes
ERR1447078	21 day		early rosette growth stage	http://purl.obolibrary.org/obo/PO_0007081	Col-0	http://www.ebi.ac.uk/efo/EFO_0005148	rpotmp ANAC017		long day length regimen	http://purl.obolibrary.org/obo/EO_0007199	Arabidopsis thaliana	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole organism	http://purl.obolibrary.org/obo/UBERON_0000468	21 day		rpotmp ANAC017		Yes
